Season,ADP,WindSpd,ABP,Height,WindDir
Spring,-11.98,8.36,1029.94,95.5,1
Spring,-11.97,11.3,1030.48,192,2
Spring,-12.79,12.21,1031.13,146.29,3
Spring,-13.26,9.8,1031.91,174.18,2
Spring,-13.74,16.1,1032.4,178.67,2
Spring,-14.28,13.83,1033.01,122.75,3
Spring,-14.16,16.23,1033.53,190.57,1
Spring,-13.98,11.42,1034.22,145.5,1
Spring,-13.67,12.37,1034.44,118.57,3
Spring,-13.28,13.7,1034.28,87,3
Spring,-13.26,8.7,1034.58,142.33,3
Spring,-12.75,8.58,1035.03,NA,1
Spring,-16.29,14.1,1035.61,53.8,1
Spring,-16.06,15.97,1035.91,281.33,1
Spring,-16.21,14.5,1036.28,120.56,1
Spring,-15.93,15.97,1036.18,540.5,1
Spring,-16.36,14.9,1036.65,NA,1
Spring,-16.12,14.23,1036.54,300.67,1
Spring,-16.17,14.1,1036.76,225.67,1
Spring,-16.18,19.03,1036.86,NA,1
Spring,-16.29,15.16,1036.91,NA,3
Spring,-15.99,11.43,1036.87,NA,3
Spring,-15.81,6.55,1037.24,230,2
Spring,-15.72,7.63,1037.48,598,2
Spring,-10.65,6,1038.9,149.67,1
Spring,-10.65,3.73,1039.49,372,2
Spring,-10.67,3.33,1039.73,347.46,2
Spring,-10.63,3.47,1039.99,379.93,3
Spring,-10.73,3.2,1040.19,389.54,2
Spring,-10.83,0.8,1040.34,359.52,2
Spring,-11.01,0.67,1040.36,382.91,3
Spring,-11.24,0.27,1040.29,346.11,2
Spring,-11.22,0.53,1040,335.36,3
Spring,-11.27,1.2,1040.01,353.6,3
Spring,-11.13,1.33,1040,350.57,3
Spring,-10.98,3.07,1039.81,306.7,3
Spring,-0.94,16.9,1035.26,NA,1
Spring,-0.58,15.17,1034.48,NA,1
Spring,-0.1,17.57,1033.66,NA,1
Spring,0.34,14.77,1032.76,185.95,3
Spring,1.19,7.23,1032.09,210.23,3
Spring,0.95,3.47,1031.27,198.54,1
Spring,1.97,9.11,1030.01,181.93,3
Spring,3.3,10.07,1028.6,182.85,3
Spring,3.13,10.61,1027.37,193.59,3
Spring,1.93,10.73,1026.72,215.39,1
Spring,2.26,21.45,1026.03,238.86,1
Spring,2.88,22.23,1025.25,301.43,1
Spring,-5.13,6.11,1018.45,101.09,1
Spring,-4.95,6.82,1019.12,193.09,1
Spring,-4.93,7.9,1019.26,224.68,3
Spring,-4.72,5.67,1019.86,200.58,3
Spring,-4.27,6.07,1020.03,200.71,1
Spring,-4.63,9.09,1019.71,192.8,3
Spring,-5.89,8.55,1019.72,177.72,3
Spring,-6.88,12.97,1019.33,242.75,1
Spring,-7.3,15.91,1018.76,201.47,1
Spring,-7.54,18.34,1019.02,143.56,1
Spring,-8.33,20.45,1019.14,317,1
Spring,-8.64,21.76,1019.59,NA,3
Spring,-13.28,21.69,1028.59,89.2,1
Spring,-12.64,20.29,1029.72,173.97,1
Spring,-12.3,20.58,1030.57,214.89,1
Spring,-14.75,24.18,1031.35,NA,1
Spring,-15.6,21.82,1031.88,148,1
Spring,-14.98,20.75,1032.28,NA,1
Spring,-14.88,21.25,1032.29,138,1
Spring,-14.11,21.76,1032.49,391.67,1
Spring,-14.26,19.73,1032.81,253.33,1
Spring,-14.12,19.06,1033.11,1047,1
Spring,-13.72,18.74,1034,401,3
Spring,-13.43,18.42,1035.03,177.33,3
Spring,0.02,18.37,1021.16,149.47,1
Spring,-0.6,20.26,1020.85,162.64,1
Spring,-2.95,20.75,1020.51,162.1,3
Spring,-4.36,13.97,1020.72,199.05,3
Spring,-5.11,14.58,1020.96,160.57,3
Spring,-5.32,11.96,1021.53,164.25,3
Spring,-6.49,9.77,1032.48,134.5,1
Spring,-7.15,4.93,1033.16,240.19,1
Spring,-7.88,2.51,1033.71,414.01,2
Spring,-8.99,0.43,1033.59,383.42,3
Spring,-8.8,3.6,1033.74,328.56,1
Spring,-9.16,7.12,1033.86,332.6,1
Spring,-5.78,5.44,1033.86,321.5,1
Spring,-3.63,3.36,1034,278.34,1
Spring,-2.89,4.16,1033.66,274.72,3
Spring,-2.43,8.53,1033.76,275.14,3
Spring,-1.99,8.53,1033.45,260.46,3
Spring,-2.11,7.46,1034.05,235.54,3
Spring,2.68,25.57,1024.43,182.86,1
