Education,Response
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,1
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
College Grad,2
